City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Berlevag,NO,70.8578,29.0864,22.95,74,75,9.22,broken clouds
310,Jayuya,PR,18.2186,-66.5916,83.12,78,32,1.01,scattered clouds
311,Rawlins,US,41.7911,-107.2387,50.22,53,1,13.8,clear sky
312,Makakilo City,US,21.3469,-158.0858,71.92,92,90,4.61,moderate rain
313,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,83,0.0,broken clouds
314,Merauke,ID,-8.4667,140.3333,80.01,86,95,7.31,overcast clouds
315,Zhanaozen,KZ,43.3,52.8,39.47,55,6,11.63,clear sky
316,Saldanha,ZA,-33.0117,17.9442,64.18,72,15,24.9,few clouds
317,Machala,EC,-3.2667,-79.9667,82.35,65,20,5.75,few clouds
318,Camargo,MX,27.6667,-105.1667,65.52,47,7,5.17,clear sky
319,Sattahip,TH,12.6664,100.9007,80.91,56,20,6.91,few clouds
320,Lamu,KE,-2.2717,40.902,82.62,76,87,8.48,overcast clouds
321,Tsiroanomandidy,MG,-18.7667,46.0333,81.19,29,19,2.1,few clouds
322,Magadi,IN,12.9667,77.2333,73.56,86,100,3.98,overcast clouds
323,Marovoay,MG,-16.1,46.6333,84.81,55,69,6.29,broken clouds
324,Korostyshiv,UA,50.3172,29.0563,32.97,86,100,9.89,overcast clouds
325,General Roca,AR,-39.0333,-67.5833,67.62,26,97,12.73,overcast clouds
326,Inongo,CD,-1.95,18.2667,76.23,81,94,1.07,light rain
327,Camacha,PT,33.0833,-16.3333,63.54,59,75,16.11,broken clouds
328,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,18.41,scattered clouds
329,Kinsale,IE,51.7075,-8.5306,47.23,93,75,3.44,light rain
330,Victoria,HK,22.2855,114.1577,66.25,35,15,11.01,few clouds
331,Matara,LK,5.9485,80.5353,78.6,85,74,3.76,broken clouds
332,Thompson,CA,55.7435,-97.8558,-5.64,77,90,12.66,light snow
333,Saint George,US,37.1041,-113.5841,58.35,48,1,0.0,clear sky
334,Doka,SD,13.5167,35.7667,85.84,22,0,8.08,clear sky
335,Yar-Sale,RU,66.8333,70.8333,-11.99,92,95,12.46,overcast clouds
336,Paamiut,GL,61.994,-49.6678,17.64,63,51,15.39,broken clouds
337,Sena Madureira,BR,-9.0656,-68.6569,86.54,54,96,1.3,overcast clouds
338,Calella,ES,41.618,2.6678,57.22,51,42,2.08,scattered clouds
339,Benito Juarez,MX,19.385,-99.165,60.39,49,40,1.99,scattered clouds
340,Vilyuysk,RU,63.7553,121.6247,-18.67,93,100,7.16,overcast clouds
