City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Sinnamary,GF,2021-12-01 17:28:03,5.3833,-52.95,79.45,88,99,12.68
266,Ha Tinh,VN,2021-12-01 17:28:04,18.3333,105.9,61.41,75,26,4.05
267,Gao,ML,2021-12-01 17:28:04,16.6362,1.637,86.11,10,38,9.48
268,Balabac,PH,2021-12-01 17:28:05,7.9868,117.0645,81.0,81,100,4.18
269,Amalapuram,IN,2021-12-01 17:28:05,16.5833,82.0167,80.98,74,1,3.96
270,Marsh Harbour,BS,2021-12-01 17:18:11,26.5412,-77.0636,75.47,65,3,15.01
271,Baykit,RU,2021-12-01 17:28:06,61.67,96.37,-3.28,96,100,1.86
272,Lavrentiya,RU,2021-12-01 17:28:06,65.5833,-171.0,-13.02,89,5,7.81
273,Staryy Nadym,RU,2021-12-01 17:28:06,65.6118,72.6842,-0.02,95,99,12.01
274,Baculin,PH,2021-12-01 17:28:07,7.4525,126.5842,78.17,83,100,4.23
275,Buala,SB,2021-12-01 17:28:07,-8.145,159.5921,81.01,73,100,3.36
276,Mangrol,IN,2021-12-01 17:23:47,21.1167,70.1167,70.88,83,100,19.55
277,Touros,BR,2021-12-01 17:28:08,-5.1989,-35.4608,88.7,57,74,14.54
278,Kedrovyy,RU,2021-12-01 17:29:08,56.1667,91.8167,28.81,83,100,6.46
279,Pangody,RU,2021-12-01 17:29:08,65.85,74.4859,-2.33,95,100,12.33
280,The Pas,CA,2021-12-01 17:29:09,53.8251,-101.2541,21.22,93,90,8.05
281,Shelburne,CA,2021-12-01 17:29:09,44.0787,-80.2041,35.91,75,100,7.43
282,Shumskiy,RU,2021-12-01 17:29:10,54.8318,99.1328,23.85,84,100,1.83
283,Ahipara,NZ,2021-12-01 17:29:10,-35.1667,173.1667,60.58,92,100,3.29
284,Bosaso,SO,2021-12-01 17:29:11,11.2842,49.1816,76.71,58,1,4.43
285,Kismayo,SO,2021-12-01 17:29:11,-0.3582,42.5454,81.07,74,98,12.55
286,Broome,US,2021-12-01 17:29:12,42.2506,-75.833,41.7,59,40,5.01
287,Pafos,CY,2021-12-01 17:29:12,34.7667,32.4167,62.38,51,90,23.02
288,Ouro Branco,BR,2021-12-01 17:29:12,-20.5208,-43.6919,75.29,73,69,6.29
289,Arraial Do Cabo,BR,2021-12-01 17:29:13,-22.9661,-42.0278,82.36,78,20,16.11
290,Kantunilkin,MX,2021-12-01 17:29:13,21.0917,-87.45,75.04,77,59,4.7
291,Awjilah,LY,2021-12-01 17:29:13,29.1081,21.2869,62.55,52,67,7.47
